,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
469,믹스견,수컷,3,입양,9,사람을 경계함,갈색계열,아니오,미상,미상,무
470,믹스견,수컷,3,미입양,9,중립,흰색계열,아니오,좌측 뒷발 골절,미상,무
471,믹스견,수컷,9,미입양,153,사람을 잘 따름,흰색계열,아니오,귀에 진드기 제거 흔적 있음,미상,무
472,믹스견,암컷,9,미입양,153,사람을 경계함,흰색계열,미상,미상,미상,무
473,믹스견,암컷,8,미입양,33,사람을 경계함,흰색계열,미상,매우 마름,미상,무
474,믹스견,수컷,3,미입양,9,중립,검정색계열,아니오,"전신 구더기 감염, 목 및 등허리 절창, 예후불량",미상,무
475,믹스견,암컷,3,미입양,9,중립,흰색계열,아니오,미상,미상,무
476,믹스견,암컷,3,미입양,9,중립,황색계열,아니오,미상,미상,무
477,믹스견,암컷,3,미입양,9,중립,흰색계열,아니오,미상,미상,무
478,믹스견,암컷,3,입양,9,중립,갈색계열,아니오,미상,미상,무
479,믹스견,수컷,3,미입양,9,중립,혼합색계열,아니오,양 볼에 상처 있음,미상,무
480,믹스견,암컷,16,미입양,33,사람을 경계함,흰색계열,미상,미상,미상,무
481,믹스견,암컷,15,미입양,33,사람을 경계함,흰색계열,미상,미상,미상,무
482,믹스견,암컷,14,미입양,33,사람을 경계함,흰색계열,미상,미상,미상,무
483,시바,수컷,12,입양,33,사람을 잘 따름,황색계열,아니오,미상,미상,무
484,시츄,암컷,5,입양,81,사람을 잘 따름,혼합색계열,미상,미상,미상,무
485,보스턴 테리어,수컷,8,입양,57,사람을 잘 따름,혼합색계열,아니오,미상,있음,무
486,시바,수컷,10,미입양,9,사람을 잘 따름,검정색계열,아니오,미상,미상,무
487,믹스견,암컷,5,미입양,33,사람을 경계함,흰색계열,미상,피부병(모낭충) 심함,미상,무
488,페키니즈,수컷,3,미입양,105,중립,혼합색계열,아니오,매우 마름,미상,무
489,믹스견,암컷,8,미입양,153,사람을 경계함,검정색계열,미상,미상,미상,무
490,믹스견,암컷,2,미입양,8,사람을 경계함,흰색계열,아니오,미상,미상,무
491,믹스견,암컷,3.5,미입양,8,사람을 경계함,흰색계열,미상,미상,미상,무
492,믹스견,수컷,3.5,미입양,8,사람을 경계함,흰색계열,미상,미상,미상,무
493,믹스견,암컷,4,입양,44,사람을 경계함,흰색계열,미상,털 많이 뭉침,미상,무
494,믹스견,암컷,6,미입양,152,사람을 경계함,혼합색계열,미상,미상,미상,무
495,믹스견,암컷,6,미입양,44,중립,혼합색계열,미상,미상,미상,무
496,믹스견,암컷,4,입양,8,중립,흰색계열,아니오,통통함,미상,무
497,믹스견,암컷,4,미입양,8,중립,흰색계열,아니오,통통함,미상,무
498,푸들,암컷,4.1,입양,80,사람을 잘 따름,회색계열,미상,피부병 있음,미상,무
499,믹스견,수컷,9,미입양,152,사람을 잘 따름,흰색계열,미상,미상,미상,무
500,믹스견,암컷,0.3,미입양,8,중립,검정색계열,아니오,"수유개체, 태반 붙어있음",미상,무
501,포메라니안,수컷,6,입양,56,사람을 잘 따름,흰색계열,아니오,미상,미상,유
502,믹스견,암컷,3,미입양,8,중립,검정색계열,아니오,미상,미상,무
503,믹스견,암컷,18,미입양,56,사람을 경계함,검정색계열,아니오,미상,미상,무
504,믹스견,암컷,4,미입양,8,중립,검정색계열,미상,턱 밑에 흰 털 자람,미상,무
505,믹스견,수컷,8,미입양,56,중립,흰색계열,미상,미상,미상,무
506,믹스견,암컷,10,미입양,68,사람을 잘 따름,검정색계열,미상,미상,미상,무
507,믹스견,수컷,2.5,미입양,8,사람을 경계함,혼합색계열,아니오,미상,미상,무
508,믹스견,암컷,13,미입양,68,중립,혼합색계열,미상,미용 되어 있음,미상,무
509,이탈리안 그레이 하운드,수컷,6,입양,8,사람을 경계함,갈색계열,아니오,미상,미상,무
510,믹스견,암컷,18,입양,44,사람을 잘 따름,흰색계열,미상,미상,미상,무
511,믹스견,암컷,1,입양,8,중립,흰색계열,아니오,미상,미상,무
512,믹스견,암컷,1,입양,8,중립,흰색계열,아니오,미상,미상,무
513,믹스견,수컷,1,입양,8,중립,황색계열,아니오,미상,미상,무
514,믹스견,암컷,1,입양,8,중립,황색계열,아니오,미상,미상,무
515,믹스견,암컷,1,입양,1,중립,황색계열,아니오,미상,미상,무
516,믹스견,암컷,15,미입양,44,사람을 경계함,흰색계열,아니오,미상,미상,무
517,믹스견,암컷,25,입양,68,사람을 잘 따름,혼합색계열,미상,미상,미상,무
518,믹스견,암컷,2,미입양,8,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
519,믹스견,암컷,4,입양,8,사람을 잘 따름,흰색계열,아니오,미상,미상,무
520,휘펫,수컷,2.5,미입양,8,사람을 잘 따름,황색계열,아니오,미상,미상,무
521,믹스견,암컷,2.5,미입양,8,사람을 잘 따름,황색계열,아니오,미상,미상,무
522,믹스견,수컷,2.5,미입양,8,사람을 잘 따름,황색계열,아니오,미상,미상,무
523,믹스견,수컷,2.5,미입양,8,사람을 잘 따름,황색계열,아니오,미상,미상,무
524,말티즈,수컷,5,미입양,56,중립,흰색계열,미상,"기립불능 (호흡촉박), 예후불량",미상,무
525,믹스견,암컷,12,미입양,44,사람을 잘 따름,혼합색계열,미상,미상,미상,무
526,믹스견,수컷,8.5,미입양,44,사람을 잘 따름,황색계열,미상,다리 짧음,미상,무
527,믹스견,수컷,7,미입양,8,사람을 경계함,흰색계열,아니오,미상,미상,무
528,믹스견,수컷,7,미입양,8,사람을 경계함,흰색계열,아니오,미상,미상,무
529,시츄,수컷,8,미입양,128,중립,갈색계열,예,미상,있음,무
530,믹스견,수컷,8,미입양,152,사람을 잘 따름,흰색계열,미상,진드기 많음,미상,무
531,믹스견,수컷,15,미입양,151,사람을 잘 따름,흰색계열,미상,털이 풍성함,미상,무
532,푸들,수컷,8,입양,79,중립,갈색계열,아니오,미상,미상,무
533,믹스견,암컷,23,미입양,55,사람을 경계함,흰색계열,아니오,임신 추정,미상,무
534,포메라니안,수컷,8,입양,79,중립,검정색계열,예,미상,미상,무
535,믹스견,암컷,3.5,미입양,7,사람을 경계함,황색계열,아니오,미상,미상,무
536,믹스견,수컷,3.5,미입양,7,사람을 경계함,흰색계열,아니오,미상,미상,무
537,믹스견,암컷,3.5,미입양,7,사람을 경계함,혼합색계열,아니오,미상,미상,무
538,믹스견,수컷,3.5,미입양,7,사람을 경계함,황색계열,아니오,미상,미상,무
539,말티즈,수컷,3.5,입양,79,사람을 잘 따름,흰색계열,예,미용 되어 있음,미상,무
540,치와와,수컷,3.5,입양,55,중립,검정색계열,아니오,미상,미상,무
541,믹스견,암컷,3.5,미입양,7,사람을 잘 따름,흰색계열,미상,미상,미상,무
542,삽살개,수컷,13,미입양,55,사람을 잘 따름,흰색계열,미상,미상,미상,무
543,믹스견,수컷,9,미입양,151,중립,혼합색계열,미상,진드기 감염,미상,무
544,믹스견,수컷,15,미입양,31,사람을 경계함,검정색계열,미상,미상,미상,무
545,믹스견,암컷,14,미입양,43,중립,흰색계열,미상,"교통사고로 탈장, 우측다리 골절",미상,무
546,포메라니안,수컷,4,입양,43,사람을 경계함,흰색계열,아니오,미상,미상,무
547,믹스견,수컷,20,미입양,79,중립,흰색계열,아니오,미상,미상,무
548,믹스견,미상,12,입양,31,사람을 경계함,흰색계열,미상,미상,미상,무
549,믹스견,암컷,6,입양,55,중립,흰색계열,미상,눈물자국 심함,미상,무
550,닥스훈트,수컷,3.5,입양,91,사람을 잘 따름,검정색계열,미상,미상,미상,무
551,말티즈,암컷,3.5,입양,79,사람을 잘 따름,흰색계열,미상,미용 되어 있음,미상,무
552,믹스견,암컷,11,미입양,67,중립,혼합색계열,미상,"피부병 심함, 유방염 있음",미상,무
553,믹스견,암컷,11,미입양,67,중립,검정색계열,미상,미상,미상,무
554,믹스견,수컷,18,미입양,31,사람을 잘 따름,황색계열,아니오,미상,미상,무
555,믹스견,수컷,18,미입양,79,사람을 경계함,황색계열,미상,매우 마름,미상,무
556,말티즈,암컷,8,미입양,91,사람을 경계함,회색계열,미상,통통함,미상,무
557,믹스견,수컷,12,미입양,7,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
558,믹스견,암컷,3.5,미입양,7,중립,흰색계열,아니오,미상,미상,무
559,믹스견,암컷,3.5,미입양,7,중립,흰색계열,아니오,미상,미상,무
560,믹스견,수컷,2.5,미입양,7,중립,흰색계열,아니오,미상,미상,무
561,믹스견,수컷,3.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
562,믹스견,암컷,3.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
563,믹스견,암컷,3.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
564,믹스견,수컷,3.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
565,믹스견,수컷,5,미입양,7,사람을 잘 따름,검정색계열,아니오,미상,미상,무
566,믹스견,암컷,2,미입양,7,중립,혼합색계열,아니오,미상,미상,무
567,믹스견,수컷,2,미입양,7,중립,검정색계열,아니오,미상,미상,무
568,믹스견,암컷,2,미입양,7,중립,흰색계열,아니오,미상,미상,무
569,믹스견,수컷,2,미입양,7,중립,흰색계열,아니오,미상,미상,무
570,믹스견,암컷,14,미입양,43,사람을 잘 따름,검정색계열,아니오,미상,미상,무
571,믹스견,수컷,2.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
572,믹스견,암컷,2.5,미입양,7,중립,검정색계열,아니오,미상,미상,무
573,믹스견,암컷,2.5,미입양,7,중립,검정색계열,아니오,미상,미상,무
574,믹스견,수컷,2.5,미입양,7,중립,검정색계열,아니오,미상,미상,무
575,믹스견,암컷,23,미입양,55,중립,흰색계열,미상,코 주변 털 벗겨짐,미상,무
576,믹스견,수컷,4,미입양,7,중립,흰색계열,아니오,미상,미상,무
577,포메라니안,암컷,3,입양,31,사람을 잘 따름,흰색계열,미상,미상,미상,무
578,믹스견,수컷,2.5,미입양,7,중립,흰색계열,아니오,미상,미상,무
579,믹스견,수컷,2.5,미입양,7,중립,흰색계열,아니오,미상,미상,무
580,믹스견,수컷,2.5,미입양,7,중립,혼합색계열,아니오,미상,미상,무
581,믹스견,암컷,9,미입양,43,중립,혼합색계열,아니오,미상,미상,무
582,믹스견,암컷,4,미입양,7,중립,혼합색계열,아니오,미상,미상,무
583,믹스견,암컷,3,입양,7,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
584,믹스견,암컷,3,미입양,7,중립,흰색계열,아니오,핑크 코에 눈매가 처짐,미상,무
585,믹스견,수컷,3,미입양,7,사람을 잘 따름,황색계열,아니오,털이 풍성함,미상,무
586,믹스견,수컷,3,미입양,7,중립,흰색계열,아니오,좌측 뒷발 피부병으로 털 벗겨짐,미상,무
587,믹스견,수컷,3,미입양,7,사람을 잘 따름,흰색계열,아니오,미상,미상,무
588,믹스견,암컷,3,미입양,7,중립,흰색계열,아니오,미상,미상,무
589,믹스견,암컷,4,미입양,7,중립,황색계열,아니오,미상,미상,무
590,믹스견,암컷,3,미입양,7,중립,흰색계열,아니오,미상,미상,무
591,믹스견,수컷,4,입양,151,사람을 잘 따름,흰색계열,미상,미상,미상,무
592,믹스견,암컷,4,미입양,7,사람을 경계함,혼합색계열,아니오,미상,미상,무
593,믹스견,수컷,14,미입양,43,사람을 경계함,흰색계열,아니오,미상,미상,무
594,믹스견,암컷,12,미입양,31,사람을 경계함,흰색계열,미상,마름,미상,무
595,믹스견,수컷,12,미입양,151,사람을 경계함,검정색계열,아니오,미상,미상,무
596,믹스견,암컷,15,미입양,151,중립,흰색계열,아니오,코에 털 빠졌음,미상,무
597,믹스견,암컷,12,미입양,43,사람을 경계함,혼합색계열,아니오,미상,미상,무
598,믹스견,수컷,18,미입양,31,사람을 경계함,혼합색계열,아니오,미상,미상,무
599,말티즈,수컷,0.5,입양,7,중립,흰색계열,아니오,미상,미상,무
600,믹스견,수컷,2.5,미입양,7,사람을 경계함,혼합색계열,아니오,미상,미상,무
601,믹스견,수컷,2.5,입양,7,사람을 경계함,흰색계열,아니오,미상,미상,무
602,믹스견,수컷,4,입양,7,중립,흰색계열,아니오,미상,미상,유
603,믹스견,수컷,4,입양,7,사람을 잘 따름,흰색계열,아니오,미상,미상,무
604,치와와,수컷,3,입양,151,사람을 잘 따름,혼합색계열,미상,미상,미상,무
605,치와와,수컷,3,입양,151,사람을 잘 따름,혼합색계열,미상,미상,미상,무
606,믹스견,수컷,22,미입양,55,사람을 경계함,흰색계열,아니오,미상,미상,유
607,믹스견,수컷,10,미입양,31,중립,검정색계열,아니오,다리가 짧은 편임,미상,무
608,믹스견,수컷,9,미입양,67,중립,검정색계열,아니오,목 주변 피부병 있음,미상,무
609,푸들,수컷,6,입양,31,중립,검정색계열,예,미상,미상,무
610,비숑 프리제,수컷,6,입양,31,중립,흰색계열,예,미상,미상,무
611,믹스견,암컷,5,미입양,6,사람을 경계함,흰색계열,미상,미상,미상,무
612,믹스견,수컷,5,입양,150,사람을 경계함,황색계열,아니오,미상,미상,무
613,믹스견,수컷,2.8,입양,6,중립,혼합색계열,아니오,통통함,미상,무
614,믹스견,암컷,2.8,입양,6,중립,혼합색계열,아니오,통통함,미상,무
615,말티즈,수컷,5,미입양,30,사람을 잘 따름,흰색계열,아니오,미상,미상,무
616,믹스견,암컷,4,미입양,6,중립,검정색계열,미상,교통사고 추정(찰과상),미상,무
617,믹스견,암컷,13,미입양,54,중립,황색계열,미상,목 주변 털 빠짐,미상,무
618,요크셔 테리어,암컷,4,입양,78,중립,혼합색계열,미상,털 많이 엉켜 있음,미상,무
619,치와와,수컷,7,미입양,30,중립,혼합색계열,아니오,미상,미상,무
620,말티즈,수컷,4,입양,42,중립,흰색계열,예,코가 핑크색임,미상,무
621,푸들,암컷,6,미입양,42,사람을 잘 따름,갈색계열,미상,털 미용 되어 있음,미상,무
622,믹스견,수컷,3,입양,6,사람을 잘 따름,흰색계열,미상,미상,미상,무
623,믹스견,암컷,6,미입양,6,중립,갈색계열,아니오,미상,미상,무
624,요크셔 테리어,암컷,3,입양,126,사람을 잘 따름,혼합색계열,미상,미상,미상,무
625,믹스견,수컷,20,미입양,30,중립,흰색계열,미상,"교통사고(대퇴골 골절), 예후가 불량함",미상,무
626,믹스견,수컷,22,미입양,66,사람을 경계함,혼합색계열,미상,체격에 비해 마른편임,미상,무
627,믹스견,수컷,12,입양,30,사람을 잘 따름,황색계열,아니오,미상,미상,무
628,믹스견,수컷,23,미입양,30,중립,황색계열,아니오,미상,미상,무
629,믹스견,암컷,23,미입양,30,중립,흰색계열,아니오,미상,미상,무
630,믹스견,암컷,20,미입양,150,중립,흰색계열,아니오,미상,미상,무
631,믹스견,암컷,20,미입양,150,중립,흰색계열,아니오,미상,미상,무
632,믹스견,수컷,17,미입양,150,중립,흰색계열,아니오,미상,미상,무
633,믹스견,암컷,20,미입양,150,중립,흰색계열,아니오,미상,미상,무
634,믹스견,암컷,22,미입양,150,중립,황색계열,아니오,미상,미상,무
635,믹스견,암컷,22,입양,150,중립,황색계열,아니오,미상,미상,무
636,믹스견,암컷,20,미입양,30,중립,황색계열,아니오,미상,미상,무
637,믹스견,수컷,5,미입양,6,중립,흰색계열,아니오,미상,미상,무
638,믹스견,수컷,8,미입양,6,중립,흰색계열,아니오,미상,미상,무
639,믹스견,수컷,5,미입양,6,중립,흰색계열,아니오,미상,미상,무
640,믹스견,수컷,8,미입양,6,중립,흰색계열,아니오,미상,미상,무
641,믹스견,수컷,15,미입양,150,중립,황색계열,아니오,미상,미상,무
642,믹스견,수컷,15,미입양,150,중립,황색계열,아니오,미상,미상,무
643,믹스견,암컷,12,미입양,150,중립,황색계열,아니오,미상,미상,무
644,믹스견,암컷,12,미입양,150,중립,황색계열,아니오,미상,미상,무
645,믹스견,암컷,12,미입양,150,중립,흰색계열,아니오,미상,미상,무
646,믹스견,수컷,12,미입양,150,중립,흰색계열,아니오,미상,미상,무
647,믹스견,수컷,12,미입양,150,중립,흰색계열,아니오,미상,미상,무
648,믹스견,미상,0.4,입양,6,중립,흰색계열,아니오,미상,미상,무
649,믹스견,미상,0.4,입양,6,중립,황색계열,아니오,미상,미상,무
650,믹스견,미상,0.4,입양,6,중립,황색계열,아니오,미상,미상,무
651,믹스견,미상,0.4,입양,6,중립,황색계열,아니오,미상,미상,무
652,믹스견,미상,0.4,입양,6,중립,황색계열,아니오,미상,미상,무
653,믹스견,미상,0.4,입양,6,중립,흰색계열,아니오,미상,미상,무
654,믹스견,미상,0.4,입양,6,중립,흰색계열,아니오,미상,미상,무
655,믹스견,미상,0.4,입양,6,중립,흰색계열,아니오,미상,미상,무
656,믹스견,암컷,23,입양,30,중립,흰색계열,아니오,미상,미상,무
657,믹스견,암컷,10,미입양,6,중립,황색계열,아니오,미상,미상,무
658,믹스견,암컷,10,입양,6,중립,혼합색계열,아니오,미상,미상,무
659,믹스견,수컷,10,미입양,6,중립,흰색계열,아니오,미상,미상,무
660,믹스견,수컷,20,미입양,150,중립,황색계열,아니오,미상,미상,무
661,믹스견,암컷,20,미입양,150,중립,황색계열,아니오,미상,미상,무
662,믹스견,암컷,20,미입양,150,중립,황색계열,아니오,미상,미상,무
663,믹스견,암컷,18,미입양,150,중립,흰색계열,아니오,미상,미상,무
664,믹스견,암컷,18,미입양,150,중립,혼합색계열,아니오,미상,미상,무
665,믹스견,암컷,18,미입양,150,중립,혼합색계열,아니오,미상,미상,무
666,믹스견,수컷,15,미입양,150,중립,흰색계열,아니오,미상,미상,무
667,믹스견,수컷,15,미입양,150,중립,황색계열,아니오,미상,미상,무
668,믹스견,암컷,19,미입양,150,중립,흰색계열,아니오,미상,미상,무
669,믹스견,암컷,19,미입양,150,중립,혼합색계열,아니오,미상,미상,무
670,믹스견,암컷,19,미입양,150,중립,혼합색계열,아니오,미상,미상,무
671,믹스견,암컷,16,미입양,6,중립,흰색계열,아니오,미상,미상,무
672,믹스견,암컷,12,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
673,믹스견,암컷,12,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
674,믹스견,암컷,25,미입양,42,중립,황색계열,아니오,임신 추정,미상,무
675,믹스견,수컷,12,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
676,믹스견,수컷,12,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
677,믹스견,수컷,7,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
678,믹스견,암컷,6,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
679,믹스견,수컷,14,미입양,150,사람을 경계함,황색계열,아니오,미상,미상,무
680,믹스견,수컷,14,미입양,150,사람을 경계함,황색계열,아니오,미상,미상,무
681,믹스견,수컷,14,미입양,150,사람을 경계함,흰색계열,아니오,미상,미상,무
682,믹스견,수컷,14,미입양,150,중립,흰색계열,아니오,미상,미상,무
683,믹스견,암컷,12,미입양,30,중립,흰색계열,아니오,미상,미상,무
684,믹스견,수컷,22,미입양,30,중립,혼합색계열,아니오,미상,미상,무
685,믹스견,수컷,10,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
686,믹스견,수컷,10,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
687,믹스견,수컷,10,미입양,6,사람을 경계함,황색계열,아니오,미상,미상,무
688,믹스견,암컷,17,입양,150,중립,흰색계열,아니오,미상,미상,무
689,믹스견,수컷,5,미입양,6,중립,흰색계열,아니오,미상,미상,무
690,믹스견,수컷,5,미입양,6,중립,흰색계열,아니오,미상,미상,무
691,믹스견,수컷,4.5,미입양,6,중립,흰색계열,아니오,미상,미상,무
692,믹스견,수컷,4.5,미입양,6,중립,흰색계열,아니오,미상,미상,무
693,믹스견,수컷,4.5,미입양,6,중립,흰색계열,아니오,미상,미상,무
694,믹스견,수컷,4.5,미입양,6,중립,흰색계열,아니오,미상,미상,무
695,프렌치 불독,암컷,5,입양,30,사람을 잘 따름,혼합색계열,미상,미상,미상,무
696,웰시 코기 카디건,암컷,6,입양,54,중립,혼합색계열,미상,털 관리 잘 되어 있음,미상,무
697,믹스견,암컷,16,미입양,30,사람을 경계함,흰색계열,미상,미상,미상,무
698,웰시 코기 카디건,수컷,15,미입양,66,사람을 잘 따름,혼합색계열,미상,미상,미상,무
699,믹스견,암컷,6,미입양,42,중립,혼합색계열,미상,미상,미상,무
700,시바,암컷,9,미입양,54,사람을 경계함,혼합색계열,미상,미상,미상,무
701,라브라도 리트리버,수컷,22,미입양,78,중립,검정색계열,아니오,미상,미상,유
702,믹스견,암컷,16,미입양,66,사람을 경계함,흰색계열,미상,미상,미상,무
703,믹스견,수컷,12,미입양,66,사람을 경계함,황색계열,미상,미상,미상,무
704,믹스견,수컷,8,미입양,54,사람을 경계함,흰색계열,미상,미상,미상,무
705,코카 스파니엘,암컷,10,입양,66,사람을 경계함,황색계열,미상,통통함,미상,무
706,웰시 코기 카디건,수컷,10,미입양,78,사람을 잘 따름,혼합색계열,아니오,털갈이 중,미상,무
707,믹스견,수컷,3,미입양,6,사람을 잘 따름,흰색계열,아니오,미상,미상,무
708,믹스견,암컷,3,미입양,6,사람을 잘 따름,흰색계열,아니오,미상,미상,무
709,말티즈,암컷,4,입양,30,사람을 잘 따름,흰색계열,미상,"얼굴, 발 미용 흔적 있음",미상,무
710,믹스견,수컷,0.5,미입양,6,중립,혼합색계열,아니오,미상,미상,무
711,믹스견,수컷,0.5,미입양,6,중립,검정색계열,아니오,미상,미상,무
712,믹스견,암컷,0.5,미입양,6,중립,혼합색계열,아니오,미상,미상,무
713,믹스견,암컷,0.5,미입양,6,중립,혼합색계열,아니오,미상,미상,무
714,믹스견,암컷,0.5,미입양,6,중립,혼합색계열,아니오,미상,미상,무
715,믹스견,암컷,0.5,미입양,6,중립,검정색계열,아니오,미상,미상,무
716,믹스견,수컷,0.5,미입양,6,중립,황색계열,아니오,미상,미상,무
717,믹스견,암컷,0.5,미입양,6,중립,혼합색계열,아니오,미상,미상,무
718,믹스견,암컷,18,미입양,42,사람을 경계함,흰색계열,아니오,미상,미상,무
719,믹스견,수컷,16,미입양,30,사람을 잘 따름,흰색계열,미상,미상,미상,유
720,믹스견,암컷,3,미입양,6,중립,흰색계열,아니오,미상,미상,무
721,푸들,암컷,4,입양,65,사람을 잘 따름,흰색계열,미상,털 엉켜있음,미상,무
722,말티즈,수컷,3,입양,53,사람을 잘 따름,흰색계열,미상,우측 귀 피부병 있음,미상,무
723,믹스견,암컷,12,미입양,41,사람을 잘 따름,흰색계열,미상,미상,미상,무
724,믹스견,수컷,0.8,입양,5,사람을 경계함,혼합색계열,아니오,미상,미상,무
725,믹스견,암컷,0.8,미입양,5,사람을 경계함,혼합색계열,아니오,미상,미상,무
726,믹스견,수컷,0.8,미입양,5,사람을 경계함,흰색계열,아니오,미상,미상,무
727,믹스견,수컷,0.8,미입양,5,사람을 경계함,혼합색계열,아니오,미상,미상,무
728,믹스견,암컷,0.08,미입양,5,사람을 경계함,흰색계열,아니오,미상,미상,무
729,믹스견,암컷,0.3,미입양,5,중립,황색계열,아니오,미상,미상,무
730,믹스견,암컷,0.3,미입양,5,중립,혼합색계열,아니오,미상,미상,무
731,믹스견,수컷,0.3,미입양,5,중립,흰색계열,아니오,미상,미상,무
732,믹스견,수컷,0.3,미입양,5,중립,흰색계열,아니오,미상,미상,무
733,믹스견,암컷,10,미입양,53,사람을 경계함,황색계열,아니오,미상,미상,무
734,이탈리안 그레이 하운드,수컷,4,입양,53,중립,황색계열,예,관리 잘 되어 있음,미상,무
735,믹스견,암컷,14,미입양,149,중립,흰색계열,미상,미상,미상,무
736,믹스견,암컷,12,미입양,149,사람을 잘 따름,황색계열,미상,털갈이 중임,미상,무
737,삽살개,수컷,20,미입양,125,중립,흰색계열,미상,"매우 마름, 예후 불량",미상,무
738,믹스견,수컷,14,미입양,29,사람을 경계함,흰색계열,미상,미상,미상,무
739,믹스견,암컷,10,미입양,5,사람을 경계함,검정색계열,미상,미상,미상,무
740,보더 콜리,수컷,18,입양,53,사람을 잘 따름,혼합색계열,미상,미상,미상,무
741,라브라도 리트리버,수컷,35,미입양,77,사람을 잘 따름,검정색계열,아니오,미상,미상,유
742,믹스견,암컷,6.5,미입양,65,사람을 잘 따름,흰색계열,미상,털 많이 뭉쳐 있음,미상,무
743,말티즈,수컷,7.5,미입양,89,사람을 잘 따름,흰색계열,예,미용 되어 있음,미상,무
744,비숑 프리제,수컷,6,입양,53,사람을 잘 따름,흰색계열,미상,눈물 자국 심함,미상,무
745,믹스견,암컷,10,미입양,41,사람을 경계함,흰색계열,미상,미상,미상,무
746,믹스견,암컷,9,입양,149,사람을 잘 따름,흰색계열,미상,미상,미상,무
747,아키다,수컷,20,입양,41,사람을 잘 따름,황색계열,미상,미상,미상,무
748,도베르만,수컷,9,입양,149,사람을 잘 따름,혼합색계열,예,매우 마름,미상,무
749,믹스견,수컷,16,미입양,29,중립,흰색계열,미상,꼬리털이 풍성함,미상,무
750,말티즈,수컷,1,입양,5,중립,흰색계열,아니오,우측 눈 없음,미상,무
751,말티즈,암컷,1.5,입양,5,중립,흰색계열,아니오,우측 눈 없음,미상,무
752,시츄,수컷,8,입양,41,사람을 잘 따름,혼합색계열,미상,미상,미상,무
753,시츄,수컷,8.5,입양,41,사람을 잘 따름,혼합색계열,미상,미상,미상,무
754,믹스견,암컷,4,미입양,89,사람을 잘 따름,황색계열,미상,말랐음,미상,무
755,믹스견,수컷,4,입양,5,사람을 잘 따름,흰색계열,아니오,미상,미상,무
756,프렌치 불독,수컷,7,입양,41,사람을 경계함,흰색계열,아니오,미상,미상,유
757,푸들,암컷,3.5,입양,149,사람을 경계함,흰색계열,미상,미상,미상,무
758,아키다,수컷,28,입양,41,사람을 잘 따름,황색계열,미상,미상,미상,유
759,믹스견,암컷,14,미입양,41,사람을 잘 따름,검정색계열,미상,미상,미상,유
760,말티즈,암컷,6,입양,65,사람을 잘 따름,흰색계열,미상,털 많이 엉켜있음,미상,무
761,삽살개,수컷,7,미입양,89,사람을 잘 따름,검정색계열,미상,미상,미상,무
762,믹스견,암컷,3,미입양,5,사람을 경계함,황색계열,아니오,미상,미상,무
763,믹스견,암컷,3,미입양,5,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
764,말티즈,암컷,5,입양,89,사람을 잘 따름,흰색계열,미상,꼬리 부분 털 엉켜있음,미상,무
765,믹스견,수컷,8,미입양,29,사람을 경계함,흰색계열,미상,미상,미상,무
766,말티즈,수컷,8,입양,125,사람을 잘 따름,흰색계열,아니오,미상,미상,무
767,믹스견,암컷,5,입양,149,사람을 잘 따름,황색계열,미상,발 미용 되어 있음,미상,무
768,믹스견,수컷,10,미입양,77,중립,혼합색계열,아니오,미상,미상,무
769,믹스견,수컷,15,미입양,29,사람을 잘 따름,흰색계열,미상,미상,미상,무
770,믹스견,암컷,20,미입양,41,중립,흰색계열,미상,미상,미상,무
771,믹스견,암컷,7,입양,148,사람을 경계함,흰색계열,미상,미상,미상,무
772,믹스견,암컷,7,입양,148,중립,흰색계열,미상,미상,미상,무
773,믹스견,암컷,8,미입양,148,사람을 잘 따름,흰색계열,미상,미상,미상,무
774,믹스견,암컷,8,미입양,148,사람을 잘 따름,혼합색계열,미상,미상,미상,무
775,믹스견,암컷,8,미입양,148,중립,검정색계열,미상,미상,미상,무
776,믹스견,수컷,7,미입양,40,사람을 잘 따름,황색계열,아니오,미상,미상,무
777,믹스견,수컷,3,미입양,4,사람을 잘 따름,흰색계열,아니오,미상,미상,무
778,믹스견,암컷,3,미입양,4,사람을 잘 따름,흰색계열,아니오,미상,미상,무
779,믹스견,암컷,3,미입양,4,사람을 잘 따름,흰색계열,아니오,미상,미상,무
780,믹스견,암컷,3,미입양,4,사람을 잘 따름,흰색계열,아니오,미상,미상,무
