,품종,성별,무게(Kg),상태,나이,성격,색,중성화유무,건강,칩등록여부,보유물건
67,믹스견,수컷,20,미입양,41,사람을 경계함,흰색계열,아니오,마취된 채 구조,미상,무
68,믹스견,수컷,20,미입양,41,사람을 경계함,흰색계열,아니오,마취된 채 구조,미상,무
69,믹스견,암컷,15,미입양,41,사람을 경계함,갈색계열,미상,마른 편,미상,무
70,웰시 코기 카디건,암컷,6,입양,65,사람을 잘 따름,혼합색계열,미상,미상,미상,유
71,믹스견,암컷,3,입양,41,사람을 잘 따름,흰색계열,미상,"털 엉킨 상태, 우측 안구천공, 항문 주변 피부 염증, 탈장",미상,무
72,믹스견,암컷,3,입양,52,사람을 잘 따름,혼합색계열,미상,오른쪽 눈이 살짝 파란끼가 돌고있음,미상,무
73,믹스견,수컷,4,입양,40,사람을 잘 따름,흰색계열,아니오,미상,미상,무
74,셔틀랜드 쉽독,수컷,15,입양,100,사람을 잘 따름,혼합색계열,아니오,"심장사상충 양성, 외이염 심함",미상,무
75,토이 푸들,암컷,5,입양,64,사람을 잘 따름,갈색계열,미상,미상,미상,무
76,말티즈,수컷,5,입양,88,중립,흰색계열,예,미상,미상,무
77,비숑 프리제,암컷,8,입양,40,사람을 잘 따름,흰색계열,미상,미상,미상,유
78,믹스견,암컷,5,입양,4,사람을 경계함,혼합색계열,아니오,미상,미상,무
79,말티즈,수컷,5,입양,88,사람을 잘 따름,흰색계열,아니오,결막염과 피부염 있음,미상,무
80,믹스견,암컷,7,입양,28,사람을 경계함,황색계열,예,진드기 감염,미상,무
81,믹스견,수컷,10,입양,4,사람을 잘 따름,흰색계열,예,미상,미상,무
82,믹스견,암컷,2,입양,4,사람을 잘 따름,흰색계열,아니오,진드기가 많음,미상,무
83,시바,수컷,10,입양,28,사람을 잘 따름,혼합색계열,예,미상,미상,무
84,시베리안 허스키,암컷,25,입양,28,사람을 잘 따름,혼합색계열,미상,미상,미상,무
85,믹스견,암컷,8,미입양,52,사람을 경계함,혼합색계열,미상,좌측안구 및 안구주변 부종,미상,무
86,포메라니안,수컷,1,입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
87,포메라니안,수컷,3,입양,148,사람을 잘 따름,흰색계열,아니오,미상,미상,유
88,믹스견,암컷,1,입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
89,믹스견,수컷,1,입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
90,포메라니안,수컷,4,입양,4,사람을 잘 따름,혼합색계열,예,미상,미상,유
91,비숑 프리제,수컷,5,입양,148,사람을 잘 따름,흰색계열,예,머리 부위에 상처 있음,미상,무
92,믹스견,암컷,18,미입양,52,사람을 경계함,흰색계열,아니오,"사상충 양성, 임신견",미상,무
93,믹스견,수컷,6,미입양,64,사람을 경계함,혼합색계열,아니오,미상,미상,무
94,시바,암컷,8,입양,28,중립,혼합색계열,미상,미상,미상,무
95,믹스견,암컷,10,입양,148,사람을 잘 따름,혼합색계열,미상,미상,미상,무
96,믹스견,수컷,3,미입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
97,믹스견,수컷,3,입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
98,믹스견,암컷,3,미입양,4,사람을 잘 따름,혼합색계열,아니오,미상,미상,무
99,믹스견,암컷,12,미입양,64,사람을 경계함,흰색계열,미상,미상,미상,무
100,믹스견,암컷,10,미입양,64,사람을 경계함,흰색계열,미상,미상,미상,무
101,믹스견,암컷,0.5,입양,4,중립,혼합색계열,아니오,미상,미상,무
102,믹스견,암컷,5.2,미입양,4,중립,혼합색계열,아니오,미상,미상,무
103,믹스견,수컷,5.7,미입양,4,중립,혼합색계열,아니오,미상,미상,무
104,믹스견,암컷,12,미입양,64,사람을 경계함,혼합색계열,아니오,미상,미상,무
105,믹스견,암컷,12,미입양,64,사람을 경계함,갈색계열,미상,미상,미상,무
106,믹스견,수컷,3,미입양,4,중립,검정색계열,아니오,미상,미상,무
107,믹스견,수컷,4,미입양,4,중립,혼합색계열,아니오,미상,미상,무
108,믹스견,암컷,3,미입양,4,중립,흰색계열,아니오,미상,미상,무
109,포메라니안,수컷,4,입양,40,사람을 잘 따름,흰색계열,아니오,미상,미상,무
110,믹스견,암컷,7,미입양,3,사람을 잘 따름,흰색계열,아니오,미상,미상,무
111,믹스견,수컷,12,미입양,27,사람을 잘 따름,흰색계열,아니오,심장사상충양성,미상,무
112,믹스견,수컷,10,미입양,39,중립,흰색계열,아니오,미상,미상,무
113,포메라니안,수컷,4,입양,147,사람을 잘 따름,흰색계열,아니오,털 관리가 잘되어있음,미상,무
114,믹스견,수컷,25,미입양,39,사람을 경계함,흰색계열,미상,교통사고 추정,미상,무
115,믹스견,암컷,20,미입양,39,중립,흰색계열,미상,심장사상충 양성,미상,유
116,믹스견,암컷,15,미입양,3,사람을 경계함,흰색계열,미상,미상,미상,무
117,포메라니안,암컷,4,입양,27,사람을 잘 따름,혼합색계열,미상,미상,미상,유
118,믹스견,암컷,2,미입양,3,사람을 잘 따름,흰색계열,미상,미상,미상,무
119,믹스견,암컷,2,미입양,3,사람을 잘 따름,갈색계열,미상,전신 피부염,미상,무
120,믹스견,암컷,2,미입양,3,사람을 잘 따름,혼합색계열,미상,전신 피부염,미상,무
121,믹스견,수컷,22.5,입양,63,사람을 잘 따름,혼합색계열,예,미상,미상,유
122,푸들,암컷,3,미입양,135,중립,갈색계열,미상,"치아 없음, 치주염 및 치석 심함",미상,유
123,포메라니안,암컷,2,입양,27,사람을 잘 따름,흰색계열,미상,"유치잔존, 미용이 되어있음",미상,유
124,스피츠,수컷,5,입양,39,사람을 잘 따름,흰색계열,아니오,미상,미상,무
125,믹스견,암컷,12,입양,3,사람을 잘 따름,갈색계열,미상,미상,미상,무
126,믹스견,암컷,8,입양,3,사람을 잘 따름,혼합색계열,미상,미상,미상,무
127,믹스견,암컷,8,미입양,51,사람을 잘 따름,흰색계열,미상,미상,미상,유
128,믹스견,수컷,6,입양,3,사람을 잘 따름,갈색계열,아니오,미상,미상,무
129,믹스견,수컷,10,입양,3,사람을 경계함,흰색계열,아니오,미상,미상,무
130,믹스견,수컷,8,미입양,63,사람을 잘 따름,갈색계열,아니오,심장사사충 양성,미상,무
131,믹스견,암컷,30,입양,63,사람을 잘 따름,검정색계열,예,미상,미상,무
132,믹스견,암컷,30,입양,63,사람을 경계함,갈색계열,예,미상,미상,무
133,믹스견,수컷,30,입양,63,사람을 경계함,검정색계열,예,미상,미상,무
134,믹스견,수컷,3,입양,3,사람을 잘 따름,흰색계열,아니오,미상,미상,무
135,믹스견,수컷,30,미입양,63,중립,갈색계열,아니오,눈물자국 있음,미상,무
136,믹스견,암컷,10,미입양,3,사람을 잘 따름,흰색계열,아니오,미상,미상,무
137,믹스견,수컷,3,입양,3,사람을 잘 따름,갈색계열,아니오,미상,미상,무
138,라브라도 리트리버,수컷,45,입양,39,사람을 잘 따름,검정색계열,예,미상,있음,무
139,믹스견,암컷,3,입양,63,중립,혼합색계열,예,복부 수술자국 (중성화 수술로 추정),미상,무
140,믹스견,암컷,15,미입양,39,중립,흰색계열,아니오,예후불량,미상,무
141,믹스견,암컷,4,미입양,63,중립,갈색계열,아니오,심장 사상충 양성,미상,유
142,말티즈,수컷,4,입양,87,사람을 잘 따름,흰색계열,예,"눈물자국 심함, 털이 많이 엉킴",미상,무
